count,label,timestamp,lon,lat,URI,observableURI
1,loaded truck,1233673980000,-122.776388,37.900833,http://www.c2s2.jhuapl.edu/sdg#loaded_truck_02032009_1013_-122-776388_37-900833,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
2,loaded truck,1233681240000,-122.776388,37.900833,http://www.c2s2.jhuapl.edu/sdg#loaded_truck_02032009_1214_-122-776388_37-900833,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
3,tanker truck,1233714960000,-122.848333,37.945833,http://www.c2s2.jhuapl.edu/sdg#tanker_truck_02032009_2136_-122-848333_37-945833,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
4,tanker truck,1233718980000,-122.649722,37.070555,http://www.c2s2.jhuapl.edu/sdg#tanker_truck_02032009_2243_-122-649722_37-070555,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
5,tarp covering materials,1233695220000,-122.648888,37.008333,http://www.c2s2.jhuapl.edu/sdg#tarp_covering_materials_02032009_1607_-122-648888_37-008333,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
6,tarp,1233644400000,-122.813055,37.901666,http://www.c2s2.jhuapl.edu/sdg#tarp_02032009_0200_-122-813055_37-901666,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable84098015-7872-49b5-b34d-eccf22a4a628
7,cash transaction,1233716640000,-122.810833,37.976666,http://www.c2s2.jhuapl.edu/sdg#cash_transaction_02032009_2204_-122-810833_37-976666,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable7b7aae97-16ea-45bd-87df-231f01c42a13
8,AN chemical signature,1233687120000,-122.738888,37.976388,http://www.c2s2.jhuapl.edu/sdg#AN_chemical_signature_02032009_1352_-122-738888_37-976388,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable3cad2c92-d728-40dc-a3f6-f3a12ba1caba
9,blue car,1233683640000,-122.703055,37.069722,http://www.c2s2.jhuapl.edu/sdg#blue_car_02032009_1254_-122-703055_37-069722,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
10,box truck,1233713640000,-122.848333,37.945833,http://www.c2s2.jhuapl.edu/sdg#box_truck_02032009_2114_-122-848333_37-945833,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
11,full fertilizer bags,1233645120000,-122.848888,37.038611,http://www.c2s2.jhuapl.edu/sdg#full_fertilizer_bags_02032009_0212_-122-848888_37-038611,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observablef4b352a4-d6d7-4381-b88f-8b71b0ca6114
12,broken down vehicle,1233689160000,-122.849444,37.100555,http://www.c2s2.jhuapl.edu/sdg#broken_down_vehicle_02032009_1426_-122-849444_37-100555,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
13,Houqi Pa,1233687660000,-122.739722,37.069444,http://www.c2s2.jhuapl.edu/sdg#Houqi_Pa_02032009_1401_-122-739722_37-069444,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
14,cash transaction,1233680760000,-122.736944,37.946944,http://www.c2s2.jhuapl.edu/sdg#cash_transaction_02032009_1206_-122-736944_37-946944,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable7b7aae97-16ea-45bd-87df-231f01c42a13
15,shovel,1233707940000,-122.775833,37.946388,http://www.c2s2.jhuapl.edu/sdg#shovel_02032009_1939_-122-775833_37-946388,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observablee9d08184-8d6a-4f73-93d0-6fa84432029d
16,cash transaction,1233673200000,-122.739166,37.977222,http://www.c2s2.jhuapl.edu/sdg#cash_transaction_02032009_1000_-122-739166_37-977222,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable7b7aae97-16ea-45bd-87df-231f01c42a13
