Arrival Date,Arrival Time,Acquire Date,Acquire Time,Long,Lat,Observation
02/04/2009,01:16,02/03/2009,02:12,-122.848888,37.038611,full fertilizer bags
02/04/2009,01:50,02/03/2009,22:12,-122.848888,37.038611,full fertilizer bags
02/04/2009,03:32,02/03/2009,17:12,-122.701388,37.038611,7 gal black plastic jugs
02/04/2009,05:11,02/03/2009,18:36,-122.739166,37.100555,empty fertilizer bags
02/04/2009,05:25,02/03/2009,20:36,-122.739166,37.100555,empty fertilizer bags
02/04/2009,05:43,02/03/2009,11:35,-122.811666,37.100555,empty fertilizer bags
02/04/2009,06:00,02/03/2009,00:14,-122.576388,37.069444,empty fertilizer bags
02/04/2009,06:28,02/03/2009,21:14,-122.576388,37.069444,empty fertilizer bags
02/04/2009,06:46,02/03/2009,15:08,-122.648888,37.949166,abandoned building
02/05/2009,01:40,02/04/2009,09:49,-122.576388,37.069444,tarps
02/05/2009,03:03,02/04/2009,10:52,-122.775833,37.946388,UN chemical signature
02/05/2009,03:07,02/03/2009,20:11,-122.848055,37.900555,slurry
02/05/2009,03:08,02/04/2009,16:53,-122.775833,37.946388,UN chemical signature
02/05/2009,03:42,02/04/2009,10:20,-122.776388,37.900833,change in traffic
02/05/2009,04:12,02/03/2009,00:04,-122.838611,37.976388,full fertilizer bags
02/05/2009,04:21,02/03/2009,03:40,-122.576388,37.069444,full fertilizer bags
02/05/2009,04:25,02/03/2009,15:41,-122.576388,37.069444,full fertilizer bags
02/05/2009,05:17,02/03/2009,15:49,-122.702777,37.039444,empty plastic barrels
02/05/2009,05:18,02/04/2009,03:28,-122.813055,37.901666,empty fertilizer bags
02/05/2009,06:48,02/04/2009,01:16,-122.576388,37.069444,empty fertilizer bags
02/05/2009,11:46,02/03/2009,04:59,-122.738055,37.069444,abandoned building
02/06/2009,01:33,02/04/2009,07:47,-122.739444,37.976666,shovels
02/06/2009,02:23,02/03/2009,15:02,-122.681944,37.069722,green plastic jugs
02/06/2009,02:25,02/04/2009,06:58,-122.849166,37.069722,full fertilizer bags
02/06/2009,02:42,02/03/2009,06:20,-122.738888,37.976388,slurry
02/06/2009,02:50,02/04/2009,14:59,-122.849166,37.069722,full fertilizer bags
02/06/2009,03:08,02/05/2009,17:38,-122.6125,37.072222,change in traffic
02/06/2009,03:26,02/04/2009,01:10,-122.648888,37.949166,UN chemical signature
02/06/2009,03:32,02/04/2009,05:44,-122.736111,37.945555,abandoned building
02/06/2009,03:45,02/05/2009,14:52,-122.775833,37.946388,UN chemical signature
02/06/2009,03:51,02/04/2009,17:34,-122.612222,37.900833,full fertilizer bags
02/06/2009,04:07,02/05/2009,00:12,-122.701388,37.038611,7 gal black plastic jugs
02/06/2009,04:14,02/04/2009,01:05,-122.838611,37.976388,full fertilizer bags
02/06/2009,04:54,02/05/2009,03:07,-122.811666,37.978888,empty fertilizer bags
02/06/2009,05:01,02/05/2009,16:07,-122.811666,37.978888,empty fertilizer bags
02/06/2009,05:15,02/05/2009,10:00,-122.603333,37.914444,full fertilizer bags
02/06/2009,05:46,02/03/2009,07:41,-122.738888,37.976388,urea chemical signature
02/06/2009,06:28,02/04/2009,09:50,-122.738888,37.976388,UN chemical signature
02/06/2009,06:39,02/03/2009,03:43,-122.576388,37.940555,full fertilizer bags
02/06/2009,07:16,02/04/2009,21:49,-122.738888,37.976388,UN chemical signature
02/06/2009,07:32,02/03/2009,12:22,-122.575,37.038611,large plastic barrels
02/07/2009,00:21,02/04/2009,12:35,-122.739444,37.976666,large metal kettle
02/07/2009,00:44,02/05/2009,01:57,-122.848055,37.900555,fill jugs
02/07/2009,01:07,02/03/2009,00:32,-122.738888,37.900277,tarps
02/07/2009,01:23,02/04/2009,11:55,-122.775833,37.946388,shovels
02/07/2009,02:12,02/05/2009,05:10,-122.848055,37.900555,slurry
02/07/2009,02:38,02/06/2009,05:55,-122.739444,37.915,shovels
02/07/2009,02:45,02/03/2009,15:59,-122.702777,37.007777,full fertilizer bags
02/07/2009,03:01,02/03/2009,14:55,-122.848055,37.900555,change in traffic
02/07/2009,03:41,02/03/2009,00:13,-122.848888,37.038611,plastic barrels
02/07/2009,03:58,02/05/2009,01:45,-122.736111,37.945555,abandoned building
02/07/2009,04:11,02/05/2009,15:16,-122.848055,37.900555,wheel barrels
02/07/2009,04:33,02/03/2009,18:11,-122.811388,37.946111,urea chemical signature
02/07/2009,04:49,02/05/2009,13:04,-122.838611,37.976388,full fertilizer bags
02/07/2009,05:01,02/04/2009,00:12,-122.738055,37.069444,shovels
02/07/2009,05:11,02/06/2009,05:08,-122.811666,37.978888,empty fertilizer bags
02/07/2009,05:14,02/03/2009,08:38,-122.612777,37.100277,empty fertilizer bags
02/07/2009,05:19,02/06/2009,00:50,-122.811388,37.946111,slurry
02/07/2009,05:19,02/03/2009,10:38,-122.612777,37.100277,empty fertilizer bags
02/07/2009,05:28,02/06/2009,13:07,-122.811666,37.978888,empty fertilizer bags
02/07/2009,05:38,02/04/2009,19:52,-122.848888,37.038611,abandoned building
