Arrival Date,Arrival Time,Acquire Date,Acquire Time,Long,Lat,Observation
02/05/2009,10:39,02/03/2009,13:17,-122.694348,37.503721,CC Purchase from Company NA Inc.,MASINT
02/05/2009,16:49,02/03/2009,13:25,-122.693104,37.509735,Procurement Personnel,BioMetric
02/06/2009,10:49,02/03/2009,16:45,-122.694443,37.508764,7 Gal Black Plastic Jugs,IMINT
02/05/2009,19:44,02/04/2009,11:37,-122.690172,37.506441,CC Purchase from Company UF Inc.,MASINT
02/08/2009,04:53,02/06/2009,08:00,-122.694896,37.507060,HME Personnel,BioMetric
02/08/2009,04:45,02/06/2009,10:00,-122.693995,37.507353,Pump from Well,IMINT
02/07/2009,20:57,02/06/2009,10:15,-122.693113,37.505572,Fill Jugs,IMINT
02/07/2009,16:53,02/06/2009,12:00,-122.696049,37.510233,Propane Burner,IMINT
02/08/2009,03:15,02/06/2009,13:00,-122.689957,37.508670,Urea Chemical Signature,MASINT
02/06/2009,22:13,02/06/2009,13:00,-122.693047,37.510107,Large Plastic Barrel,IMINT
02/06/2009,20:39,02/06/2009,13:30,-122.690701,37.506490,7 Gal Black Plastic Jugs,IMINT
02/07/2009,23:03,02/06/2009,14:15,-122.696236,37.505893,Mixing Devices,IMINT
02/10/2009,6:44,02/07/2009,13:30,-122.694643,37.506552,Tarps,IMINT
02/08/2009,00:02,02/07/2009,14:30,-122.695786,37.509155,HME Personnel,BioMetric
02/08/2009,20:38,02/07/2009,23:00,-122.693309,37.504119,UN Chemical Signature,MASINT
02/09/2009,23:45,02/07/2009,23:00,-122.694799,37.508767,Mixing Devices,MASINT
02/09/2009,02:36,02/07/2009,23:30,-122.691910,37.504167,Security Personnel,BioMetric
02/09/2009,23:20,02/09/2009,12:00,-122.696134,37.505963,Full Fertilizer bags,IMINT
02/09/2009,17:56,02/09/2009,13:40,-122.695150,37.507334,Empty Plastic barrel,IMINT
02/10/2009,08:49,02/10/2009,08:00,-122.691700,37.508470,Buried Item,IMINT
